timestamp,source_ip,destination_ip,destination_port,protocol,packet_count,request_rate,success_flag,label
2026-08-12T19:55:11.740654,185.220.101.55,192.168.1.10,80,UDP,110,356.31,True,ddos
2026-08-12T19:55:11.745654,185.220.101.55,192.168.1.10,80,UDP,168,437.67,False,ddos
2026-08-12T19:55:11.750654,185.220.101.55,192.168.1.10,80,UDP,96,340.06,True,ddos
2026-08-12T19:55:11.755654,185.220.101.55,192.168.1.10,80,UDP,138,257.47,True,ddos
2026-08-12T19:55:11.760654,185.220.101.55,192.168.1.10,80,UDP,180,151.72,True,ddos
2026-08-12T19:55:11.765654,185.220.101.55,192.168.1.10,80,UDP,143,394.68,True,ddos
2026-08-12T19:55:11.770654,185.220.101.55,192.168.1.10,80,UDP,55,320.84,True,ddos
2026-08-12T19:55:11.775654,185.220.101.55,192.168.1.10,80,UDP,199,226.61,True,ddos
2026-08-12T19:55:11.780654,185.220.101.55,192.168.1.10,80,UDP,191,398.1,True,ddos
2026-08-12T19:55:11.785654,185.220.101.55,192.168.1.10,80,UDP,70,257.61,False,ddos
2026-08-12T19:55:11.790654,185.220.101.55,192.168.1.10,80,UDP,192,301.08,True,ddos
2026-08-12T19:55:11.795654,185.220.101.55,192.168.1.10,80,UDP,113,427.34,False,ddos
2026-08-12T19:55:11.800654,185.220.101.55,192.168.1.10,80,UDP,133,170.67,True,ddos
2026-08-12T19:55:11.805654,185.220.101.55,192.168.1.10,80,UDP,160,242.18,False,ddos
2026-08-12T19:55:11.810654,185.220.101.55,192.168.1.10,80,UDP,185,399.88,True,ddos
2026-08-12T19:55:11.815654,185.220.101.55,192.168.1.10,80,UDP,169,263.59,False,ddos
2026-08-12T19:55:11.820654,185.220.101.55,192.168.1.10,80,UDP,106,337.76,True,ddos
2026-08-12T19:55:11.825654,185.220.101.55,192.168.1.10,80,UDP,143,186.28,True,ddos
2026-08-12T19:55:11.830654,185.220.101.55,192.168.1.10,80,UDP,152,388.22,True,ddos
2026-08-12T19:55:11.835654,185.220.101.55,192.168.1.10,80,UDP,120,446.49,False,ddos
2026-08-12T19:55:11.840654,185.220.101.55,192.168.1.10,80,UDP,127,381.52,True,ddos
2026-08-12T19:55:11.845654,185.220.101.55,192.168.1.10,80,UDP,118,322.78,False,ddos
2026-08-12T19:55:11.850654,185.220.101.55,192.168.1.10,80,UDP,170,497.13,True,ddos
2026-08-12T19:55:11.855654,185.220.101.55,192.168.1.10,80,UDP,181,404.13,True,ddos
2026-08-12T19:55:11.860654,185.220.101.55,192.168.1.10,80,UDP,88,417.56,True,ddos
2026-08-12T19:55:11.865654,185.220.101.55,192.168.1.10,80,UDP,160,176.83,True,ddos
2026-08-12T19:55:11.870654,185.220.101.55,192.168.1.10,80,UDP,186,323.93,False,ddos
2026-08-12T19:55:11.875654,185.220.101.55,192.168.1.10,80,UDP,96,342.58,True,ddos
2026-08-12T19:55:11.880654,185.220.101.55,192.168.1.10,80,UDP,86,236.12,True,ddos
2026-08-12T19:55:11.885654,185.220.101.55,192.168.1.10,80,UDP,96,307.14,True,ddos
